檔案名稱,編號,名稱,品質,描述,效果,觸發時機,自身成長,其他數值,價格,提示框,升級版,轉化獲得,備注
S3p079.webp,158,車輪滾滾+,稀有,和牌時，每有1個筒子的刻子則獲得5星幣,±星幣,和牌時,無成長,"線性,星幣",6,,是,是,
S3080.webp,159,熒光帶魚,稀有,和牌時，如果包含點數為1-9的筒子，則獲得4星幣,±星幣,和牌時,無成長,"線性,星幣",6,,否,否,
S3p080.webp,160,熒光帶魚+,稀有,和牌時，如果包含點數為1-9的筒子，則獲得6星幣,±星幣,和牌時,無成長,"線性,星幣",6,,是,是,
S3081.webp,161,通天藤蔓,稀有,和牌時，索子的基礎分值計為3倍。關卡結束時使隨機1種索子牌的基礎分值x1.3,"+分,+基礎分值",和牌時,無成長,"指數,基礎分值",6,"基礎分值,無限獲取",否,是,由【魔豆】或右側為【魔豆】的【嵐星·影分身(+)】轉化而來
S3p081.webp,162,通天藤蔓+,稀有,和牌時，索子的基礎分值計為5倍。關卡結束時使隨機2種索子牌的基礎分值x1.3,"+分,+基礎分值",和牌時,無成長,"指數,基礎分值",6,"基礎分值,無限獲取",是,是,可由【魔豆+】或右側為【魔豆+】的【嵐星·影分身(+)】轉化而來
S3082.webp,163,君子之約,稀有,+15番，+300分，公開牌數量+10。關卡結束時獲得20星幣。,"+番,+分,+公開牌,±星幣","和牌時,關卡開始時,關卡結束時",無成長,"線性,星幣",6,,否,是,由 4 個初級版的【四君子】合成而來
S3p082.webp,164,君子之約+,稀有,+25番，+500分，公開牌數量+15。關卡結束時獲得30星幣。,"+番,+分,+公開牌,±星幣","和牌時,關卡開始時,關卡結束時",無成長,"線性,星幣",6,,是,是,可由 4 個【四君子】合成而來，其中至少有 1 個是升級版
S3083.webp,165,1倍辣,稀有,x1番。關卡結束時或是和牌時自摸紅寶牌，本護身符將升級（可無限升級）,x番,和牌時,"線性,出售時重置",無成長,6,無限升級,否,否,
S3p083.webp,166,2倍辣,稀有,x2番。效果量等同於本護身符升級次數的2倍。關卡結束時或是和牌時自摸紅寶牌，本護身符將升級（可無限升級）,x番,和牌時,"線性,出售時重置",無成長,6,無限升級,是,是,
S3084.webp,167,雲朵藥水,稀有,和牌時，使最右側護身符獲得隨機印章。關卡結束時，本護身符消失,"印章,自毀","和牌時,關卡結束時",無成長,"線性,印章",6,印章,否,否,
S3p084.webp,168,雲朵藥水+,稀有,和牌時，使最右側2張護身符獲得隨機印章。關卡結束時，本護身符消失,"印章,自毀","和牌時,關卡結束時",無成長,"線性,印章",6,印章,是,是,
S3085.webp,169,吸星器,稀有,每次進入商店時，星幣超過20的部分改由本護身符存儲+0分。效果量等同於存儲星幣數量的10倍。（當前已存儲0星幣，出售時全額返還),"+分,±星幣","和牌時,出售時","線性,出售時重置","線性,星幣",6,,否,否,
S3p085.webp,170,吸星器+,稀有,每次進入商店時，星幣超過20的部分改由本護身符存儲+0分。效果量等同於存儲星幣數量的20倍。（當前已存儲0星幣，出售時全額返還),"+分,±星幣","和牌時,出售時","線性,出售時重置","線性,星幣",6,,是,是,
S3086.webp,171,百老匯,稀有,和牌時，每張手牌的基礎分值+1分,+基礎分值,和牌時,無成長,"線性,基礎分值",6,基礎分值,否,否,
S3p086.webp,172,百老匯+,稀有,和牌時，每張手牌的基礎分值+2分,+基礎分值,和牌時,無成長,"線性,基礎分值",6,基礎分值,是,是,
S3087.webp,173,不知名收藏家,稀有,每當你獲得1張帶有印章的護身符時，本護身符獲得x1番（當前為x1番）,x番,和牌時,"線性,出售時重置",無成長,6,印章,否,否,
S3p087.webp,174,不知名收藏家+,稀有,每當你獲得1張帶有印章的護身符時，本護身符獲得x2番（當前為x1番）,x番,和牌時,"線性,出售時重置",無成長,6,印章,是,是,
S3088.webp,175,極速安檢,稀有,在第10張待摸牌前即滿足過關分數時，關卡獎勵額外獲得3倍,±星幣,關卡結束時,無成長,"線性,星幣",6,,否,否,
S3p088.webp,176,極速安檢+,稀有,在第10張待摸牌前即滿足過關分數時，關卡獎勵額外獲得5倍,±星幣,關卡結束時,無成長,"線性,星幣",6,,是,是,
S3089.webp,177,老頭樂,稀有,開槓後，如果摸到的是幺九牌，則所有幺九牌的基礎分值+19分,+基礎分值,開槓後,無成長,"線性,基礎分值",6,"基礎分值,幺九牌",否,否,
S3p089.webp,178,老頭樂+,稀有,開槓後，如果摸到的是幺九牌，則所有幺九牌的基礎分值+29分,+基礎分值,開槓後,無成長,"線性,基礎分值",6,"基礎分值,幺九牌",是,是,
S3090.webp,179,噴漆工人,稀有,關卡結束時，使1張護身符獲得隨機印章,印章,關卡結束時,無成長,"線性,印章",6,印章,否,否,可能覆蓋已有印章
S3p090.webp,180,噴漆工人+,稀有,關卡結束時，使2張護身符獲得隨機印章,印章,關卡結束時,無成長,"線性,印章",6,印章,是,是,可能覆蓋已有印章
S3091.webp,181,蹺蹺板,稀有,關卡開始時，如果星幣數量沒有超過20，則本護身符獲得x1.5番，反之則失去x3番（當前為x1番）,x番,和牌時,"線性,出售時重置",無成長,6,,否,否,
S3p091.webp,182,蹺蹺板+,稀有,關卡開始時，如果星幣數量沒有超過20，則本護身符獲得x3番，反之則失去x6番（當前為x1番）,x番,和牌時,"線性,出售時重置",無成長,6,,是,是,
S3092.webp,183,相遇天使,稀有,+0分。效果量等同於本局遊戲中每次開包發現和獲得本護身符次數的30倍,+分,和牌時,"線性,取決於其他數值",無成長,6,無限獲取,否,否,
S3p092.webp,184,相遇天使+,稀有,+0分。效果量等同於本局遊戲中每次開包發現和獲得本護身符次數的60倍,+分,和牌時,"線性,取決於其他數值",無成長,6,無限獲取,是,是,
S3093.webp,185,嶺上之花,傳說,聽牌後，開槓時必定可以嶺上開花。嶺上開花額外+4番,"+和牌次數,+番","開槓後,和牌時",無成長,無成長,9,,否,否,
S3p093.webp,186,嶺上之花+,傳說,聽牌後，開槓時必定可以嶺上開花。嶺上開花額外+8番,"+和牌次數,+番","開槓後,和牌時",無成長,無成長,9,,是,是,
S3094.webp,187,海底皎月,傳說,聽牌後，最後1張摸牌必定海底摸月和牌,"+和牌次數,+番",摸牌時,無成長,無成長,9,,否,否,
S3p094.webp,188,海底皎月+,傳說,聽牌後，最後1張摸牌必定海底摸月和牌。海底摸月額外+8番,"+和牌次數,+番","摸牌時,和牌時",無成長,無成長,9,,是,是,
S3095.webp,189,羽化成仙,傳說,換牌或舍牌時，每包含1張寶牌或魂牌，本護身符+20分（當前為+0分）,+分,和牌時,"線性,出售時重置",無成長,9,魂牌,否,否,
S3p095.webp,190,羽化成仙+,傳說,換牌或舍牌時，每包含1張寶牌或魂牌，本護身符+30分（當前為+0分）,+分,和牌時,"線性,出售時重置",無成長,9,魂牌,是,是,
S3096.webp,191,欽差關防,傳說,公開牌數量+10,+公開牌,關卡開始時,無成長,無成長,9,,否,否,
S3p096.webp,192,欽差關防+,傳說,公開牌數量+15,+公開牌,關卡開始時,無成長,無成長,9,,是,是,
S3097.webp,193,役滿大師,傳說,和牌時，如果完成了役滿役種，則本護身符獲得x0.8番（當前為x1番）,x番,和牌時,"線性,出售時重置",無成長,9,,否,否,
S3p097.webp,194,役滿大師+,傳說,和牌時，如果完成了役滿役種，則本護身符獲得x1.2番（當前為x1番）,x番,和牌時,"線性,出售時重置",無成長,9,,是,是,
S3098.webp,195,績效獎勵,傳說,滿足過關分數時，每剩余1張待摸牌則+1星幣,±星幣,滿足過關分數時,無成長,"線性,星幣",9,,否,否,
S3p098.webp,196,績效獎勵+,傳說,滿足過關分數時，每剩余1張待摸牌則+2星幣,±星幣,滿足過關分數時,無成長,"線性,星幣",9,,是,是,
S3099.webp,197,開鎖大師,傳說,鎖定3張待摸牌。每鎖定18張牌後使本護身符分數x1.3（當前為+50分，還需鎖定18張）,"+鎖定牌,x番","關卡開始時,和牌時","指數,出售時重置",無成長,9,鎖定,否,否,
S3p099.webp,198,開鎖大師+,傳說,鎖定3張待摸牌。每鎖定18張牌後使本護身符分數x1.5（當前為+50分，還需鎖定18張）,"+鎖定牌,x番","關卡開始時,和牌時","指數,出售時重置",無成長,9,鎖定,是,是,
S3100.webp,199,公子買單,傳說,購買1個護身符包後，本護身符獲得x0.2番。但是每個護身符包只提供2個選項。（當前為x1番）,"x番,商店","和牌時,打開護身符包時","線性,出售時重置",無成長,9,,否,否,
S3p100.webp,200,公子買單+,傳說,購買1個護身符包後，本護身符獲得x0.3番。但是每個護身符包只提供2個選項。（當前為x1番）,"x番,商店","和牌時,打開護身符包時","線性,出售時重置",無成長,9,,是,是,
S3101.webp,201,幻影役滿,傳說,和牌時，將1個隨機役種計為13番，並視其為役滿役種,+番,和牌時,無成長,無成長,9,,否,否,可能會降低
S3p101.webp,202,幻影役滿+,傳說,和牌時，將2個隨機役種計為26番，並視其為役滿役種,+番,和牌時,無成長,無成長,9,,是,是,
S3102.webp,203,花火主唱姬川響,傳說,每當有1種牌的基礎分值增加時，使增加量計為2倍,+基礎分值,基礎分數變動時,無成長,"線性,基礎分值",9,基礎分值,否,否,
S3p102.webp,204,花火主唱姬川響+,傳說,每當有1種牌的基礎分值增加時，使增加量計為2.5倍,+基礎分值,基礎分數變動時,無成長,"線性,基礎分值",9,基礎分值,是,是,
S3103.webp,205,類魂遊戲,傳說,和牌時，如果完成了役滿役種，本護身符獲得每張魂牌額外+5番的效果（當前每張魂牌1番）,+番,和牌時,"線性,出售時重置",無成長,9,魂牌,否,否,
S3p103.webp,206,類魂遊戲+,傳說,和牌時，如果完成了役滿役種，本護身符獲得每張魂牌額外+8番的效果（當前每張魂牌1番）,+番,和牌時,"線性,出售時重置",無成長,9,魂牌,是,是,
S3104.webp,207,萬里挑一,傳說,聽牌後，摸到一萬時必定可以和牌,+和牌次數,摸牌時,無成長,無成長,9,,否,否,
S3p104.webp,208,萬里挑一+,傳說,聽牌後，摸到萬子牌時必定可以和牌,+和牌次數,摸牌時,無成長,無成長,9,,是,是,
S3105.webp,209,神社大舞台,傳說,聽牌後，如果你連續摸切9張牌，則下1張牌必定可以和牌（已連續摸切0張）,+和牌次數,摸牌時,無成長,無成長,9,摸切,否,否,
S3p105.webp,210,神社大舞台+,傳說,聽牌後，如果你連續摸切6張牌，則下1張牌必定可以和牌（已連續摸切0張）,+和牌次數,摸牌時,無成長,無成長,9,摸切,是,是,
S3106.webp,211,吞金幼龍琳瑯,傳說,每當獲得星幣時，吃掉一半！吃掉的每個星幣可使本護身符獲得x0.2番（當前為x1番),"±星幣,x番","獲得星幣時,和牌時","線性,出售時重置","線性,星幣",9,吃掉一半！,否,否,
S3p106.webp,212,吞金幼龍琳瑯+,傳說,每當獲得星幣時，吃掉一半！吃掉的每個星幣可使本護身符獲得x0.3番（當前為x1番),"±星幣,x番","獲得星幣時,和牌時","線性,出售時重置","線性,星幣",9,吃掉一半！,是,是,
S3107.webp,213,百花繚亂,傳說,和牌時，如果同時達成6個役種，本護身符獲得x2番（當前為x1番）,x番,和牌時,"線性,出售時重置",無成長,9,,否,否,
S3p107.webp,214,百花繚亂+,傳說,和牌時，如果同時達成6個役種，本護身符獲得x3番（當前為x1番）,x番,和牌時,"線性,出售時重置",無成長,9,,是,是,
S3108.webp,215,負重前行,傳說,x1番。每當你沒有換牌時，本護身符的番數效果+30%,x番,和牌時,"指數,出售時重置",無成長,9,,否,否,
S3p108.webp,216,負重前行+,傳說,x1番。每當你沒有換牌時，本護身符的番數效果+50%,x番,和牌時,"指數,出售時重置",無成長,9,,是,是,
S3109.webp,217,王之召喚,傳說,和牌時，如果自摸的是魂牌，本護身符獲得x1番和每張魂牌額外+1番的效果（當前為x1番，每張魂牌1番）,"x番,+番",和牌時,"線性,出售時重置",無成長,9,魂牌,否,否,
S3p109.webp,218,王之召喚+,傳說,和牌時，如果自摸的是魂牌，本護身符獲得x1番和每張魂牌額外+2番的效果（當前為x1番，每張魂牌1番）,"x番,+番",和牌時,"線性,出售時重置",無成長,9,魂牌,是,是,
S3110.webp,219,儲備糧食,傳說,每當你沒有換牌時，每剩余2次換牌可使隨機1張牌成為魂牌,+魂牌,換牌時,無成長,"線性,魂牌",9,魂牌,否,否,
S3p110.webp,220,儲備糧食+,傳說,每當你沒有換牌時，每剩余1次換牌可使隨機1張牌成為魂牌,+魂牌,換牌時,無成長,"線性,魂牌",9,魂牌,是,是,
S3111.webp,221,無邊黑洞,傳說,和牌時，如果自摸的是索子，使隨機1種索子牌的基礎分值x1.1,+基礎分值,和牌時,無成長,"指數,基礎分值",9,基礎分值,否,否,
S3p111.webp,222,無邊黑洞+,傳說,和牌時，如果自摸的是索子，使隨機2種索子牌的基礎分值x1.1,+基礎分值,和牌時,無成長,"指數,基礎分值",9,基礎分值,是,是,
S3112.webp,223,小遊戲達人,傳說,每當你對1張牌進行鎖定、新增魂牌和增加基礎分值時，本護身符獲得x0.2番（當前為x1番）,x番,和牌時,"線性,出售時重置",無成長,9,"鎖定,魂牌,基礎分值",否,否,
S3p112.webp,224,小遊戲達人+,傳說,每當你對1張牌進行鎖定、新增魂牌和增加基礎分值時，本護身符獲得x0.3番（當前為x1番）,x番,和牌時,"線性,出售時重置",無成長,9,"鎖定,魂牌,基礎分值",是,是,
S3113.webp,225,晚會邀請函,傳說,本護身符的升級版會隨機變為1張神話護身符,"護身符,可轉化,自毀",擁有時,無成長,"線性,護身符",9,品質,否,否,
S3p113.webp,226,晚會邀請函+,傳說,本護身符會隨機變為1張神話護身符,"護身符,可轉化,自毀",擁有時,無成長,"線性,護身符",9,品質,是,是,
S3114.webp,227,驚喜發明家未來,傳說,關卡結束時，進行1次發明，可能獲得非常特別稀有的護身符（接受驚喜時必須要有空位）,護身符,關卡結束時,無成長,"線性,護身符",9,"發明,品質",否,否,
S3p114.webp,228,驚喜發明家未來+,傳說,關卡結束時，進行2次發明，可能獲得非常特別稀有的護身符（接受驚喜時必須要有空位）,護身符,關卡結束時,無成長,"線性,護身符",9,"發明,品質",是,是,
S3115.webp,229,耀眼明珠,傳說,和牌時，每有1張筒子的寶牌或紅寶牌則獲得3星幣,±星幣,和牌時,無成長,"線性,星幣",9,,否,否,
S3p115.webp,230,耀眼明珠+,傳說,和牌時，每有1張筒子的寶牌或紅寶牌則獲得3星幣。如果該牌是魂牌，額外獲得2星幣。,±星幣,和牌時,無成長,"線性,星幣",9,魂牌,是,是,
S3116.webp,231,星探墨鏡,傳說,商店中不再出售普通護身符包,商店,擁有時,無成長,無成長,9,品質,否,否,
S3p116.webp,232,星探墨鏡+,傳說,商店中不再出售普通護身符包，也不會開出品質最低的護身符,商店,擁有時,無成長,無成長,9,品質,是,是,
S3117.webp,233,模仿搗蛋鬼陽菜,傳說,相鄰的護身符在關卡結束時的效果會觸發2次,護身符,關卡結束時,無成長,無成長,9,,否,否,
S3p117.webp,234,模仿搗蛋鬼陽菜+,傳說,所有護身符在關卡結束時的效果會觸發2次,護身符,關卡結束時,無成長,無成長,9,,是,是,
S3118.webp,235,失敗的發明,傳說,（失敗的發明也能賣個幾塊錢！）,±星幣,出售時,無成長,"線性,星幣",9,發明,否,否,
S3p118.webp,236,失敗的發明+,傳說,（失敗的發明也能賣個幾塊錢！）,,出售時,無成長,"線性,星幣",9,發明,是,是,
S3119.webp,237,活體五索,傳說,如果待摸牌只剩下3張且聽牌時，這些牌可視為五索以和牌,+和牌次數,摸牌時,無成長,無成長,9,,否,否,
S3p119.webp,238,活體五索+,傳說,如果待摸牌只剩下6張且聽牌時，這些牌可視為五索以和牌,+和牌次數,摸牌時,無成長,無成長,9,,是,是,
S3120.webp,239,暗流湧動,傳說,每當你摸到一萬時，可以與手牌中的任意刻子完成暗槓（3張的優先！）,配牌/手牌,摸牌時,無成長,無成長,9,,否,否,
S3p120.webp,240,暗流湧動+,傳說,每當你摸到萬子時，可以與手牌中的任意刻子完成暗槓（3張的優先！）,配牌/手牌,摸牌時,無成長,無成長,9,,是,是,
S3121.webp,241,玻璃火箭,傳說,如果所有待摸牌均已公開，和牌時，重覆和這張牌2次（該效果每關至多觸發1次）,+和牌次數,和牌時,無成長,無成長,9,,否,否,
S3p121.webp,242,玻璃火箭+,傳說,如果所有待摸牌均已公開，和牌時，重覆和這張牌3次（該效果每關至多觸發1次）,+和牌次數,和牌時,無成長,無成長,9,,是,是,
S3122.webp,243,丁拉阿神貓,傳說,每關第1次換牌會優先獲得配牌最多花色的牌,配牌/手牌,換牌時,無成長,無成長,9,,否,否,
S3p122.webp,244,丁拉阿神貓+,傳說,換牌次數+1。每關第1次換牌會優先獲得配牌最多花色的牌,"+換牌次數,配牌/手牌","關卡開始時,換牌時",無成長,無成長,9,,是,是,
S3123.webp,245,風停了,傳說,關卡開始時，鎖定所有四風牌並將它們置後,"+鎖定牌,待摸牌順序",關卡開始時,無成長,無成長,9,"鎖定,四風牌",否,否,
S3p123.webp,246,風停了+,傳說,關卡開始時，鎖定所有字牌並將它們置後,"+鎖定牌,待摸牌順序",關卡開始時,無成長,無成長,9,鎖定,是,是,
S3124.webp,247,海盜頭子撫子,傳說,第3次和牌時，獲得1張普通品質隨機護身符（每關一次，要求次數和品質會逐漸提升！）,護身符,和牌時,"線性,出售時重置","線性,護身符",9,品質,否,否,"每達成一次，要求和牌次數+1
3：普通，4：稀有，5：傳說，6+：神話 可能攜帶印章"
S3p124.webp,248,海盜頭子撫子+,傳說,第3次和牌時，獲得1張普通品質隨機護身符的升級版（每關一次，要求次數和品質會逐漸提升！）,護身符,和牌時,"線性,出售時重置","線性,護身符",9,品質,是,是,"每達成一次，要求和牌次數+1
3：普通，4：稀有，5：傳說，6+：神話 可能攜帶印章"
S3125.webp,249,最後通知,傳說,關卡開始時，使待摸牌按自動理牌的順序排序,待摸牌順序,關卡開始時,無成長,無成長,9,自動理牌,否,否,
S3p125.webp,250,最後通知+,傳說,關卡開始時，使待摸牌按自動理牌的順序排序，並公開花色待摸牌。（每關會隨機花色）,"待摸牌順序,+公開牌",關卡開始時,無成長,無成長,9,"自動理牌,花色",是,是,
S3126.webp,251,花火三重奏,傳說,同一關卡內完成3次開槓後，剩余的待摸牌在聽牌時均必定可以和牌,+和牌次數,摸牌時,無成長,無成長,9,,否,否,
S3p126.webp,252,花火三重奏+,傳說,同一關卡內完成2次開槓後，剩余的待摸牌在聽牌時均必定可以和牌,+和牌次數,摸牌時,無成長,無成長,9,,是,是,
S3127.webp,253,混亂光線,傳說,關卡開始前，隨機獲得護身符直至上限。關卡結束時，使其消失,護身符,"關卡開始前,關卡結束時",無成長,"線性,護身符",9,,否,否,
S3p127.webp,254,混亂光線+,傳說,關卡開始前，隨機獲得帶有印章的護身符直至上限。關卡結束時，使其消失,"護身符,印章","關卡開始前,關卡結束時",無成長,"線性,護身符",9,印章,是,是,
S3128.webp,255,烙印魔術師萊恩,傳說,每當打開護身符包時，至少有1張護身符會帶有印章,"商店,印章",打開護身符包時,無成長,"線性,印章",9,印章,否,否,
S3p128.webp,256,烙印魔術師萊恩+,傳說,每當打開護身符包時，品質最高的護身符一定會帶有印章,"商店,印章",打開護身符包時,無成長,"線性,印章",9,"印章,品質",是,是,
S3129.webp,257,喵修斯之船,傳說,關卡開始時，手牌獲得隨機6張上一次和牌時所包含的牌,配牌/手牌,關卡開始時,無成長,無成長,9,,否,否,
S3p129.webp,258,喵修斯之船+,傳說,關卡開始時，手牌獲得隨機9張上一次和牌時所包含的牌,配牌/手牌,關卡開始時,無成長,無成長,9,,是,是,
S3130.webp,259,平穩落地,傳說,和牌時，如果手牌均為點數3及以下的序數牌，獲得8星幣,±星幣,和牌時,無成長,"線性,星幣",9,,否,否,國標：全小
S3p130.webp,260,平穩落地+,傳說,和牌時，如果手牌均為點數3及以下的序數牌，獲得12星幣,±星幣,和牌時,無成長,"線性,星幣",9,,是,是,國標：全小
S3131.webp,261,月光守護,傳說,x1番。關卡開始時，如果星幣為0則本護身符的番數效果+30%,x番,和牌時,"指數,出售時重置",無成長,9,,否,否,
S3p131.webp,262,月光守護+,傳說,x1番。關卡開始時，如果星幣為0則本護身符的番數效果+50%,x番,和牌時,"指數,出售時重置",無成長,9,,是,是,
S3132.webp,263,不穩定的護身符,傳說,關卡開始前，獲得效果！,護身符,關卡開始前,無成長,"線性,護身符",9,"不穩定的效果,品質",否,否,
S3p132.webp,264,不穩定的護身符+,傳說,關卡開始前，獲得效果！,護身符,關卡開始前,無成長,"線性,護身符",9,"不穩定的效果+,品質",是,是,
S3133.webp,265,盜印大盜,傳說,x1番。關卡結束時，左側相鄰護身符印章消失。每當有1個印章消失時，本護身符的番數效果+20%,"x番,印章","關卡結束時,和牌時","指數,出售時重置","線性,印章",9,印章,否,否,
S3p133.webp,266,盜印大盜+,傳說,x1番。關卡結束時，左側相鄰護身符印章消失。每當有1個印章消失時，本護身符的番數效果+30%,"x番,印章","關卡結束時,和牌時","指數,出售時重置","線性,印章",9,印章,是,是,
S3134.webp,267,護身禮包,神話,+0分。效果量為本輪遊戲累計升級與購買護身符消費星幣的數量的8倍,+分,和牌時,"線性,取決於其他數值",無成長,12,,否,否,
S3p134.webp,268,護身禮包+,神話,+0分。效果量為本輪遊戲累計升級與購買護身符消費星幣的數量的12倍,+分,和牌時,"線性,取決於其他數值",無成長,12,,是,是,
S3135.webp,269,天之恩惠,神話,和牌時，每有1張寶牌或魂牌則+1星幣,±星幣,和牌時,無成長,"線性,星幣",12,魂牌,否,否,
S3p135.webp,270,天之恩惠+,神話,和牌時，每有1張寶牌或魂牌則+2星幣,±星幣,和牌時,無成長,"線性,星幣",12,魂牌,是,是,
S3136.webp,271,嵐星·影分身,神話,和牌時覆制右側護身符的效果（本護身符不會被重覆觸發）,護身符,和牌時,無成長,無成長,12,,否,否,可以覆制【魔豆(+)】轉化為【通天藤蔓(+)】
S3p136.webp,272,嵐星·影分身+,神話,+10番，和牌時覆制右側護身符的效果（本護身符不會被重覆觸發）,"+番,護身符",和牌時,無成長,無成長,12,,是,是,可以覆制【魔豆(+)】轉化為【通天藤蔓(+)】
S3137.webp,273,魔法開鎖匠柚,神話,鎖定3張待摸牌。每有1張牌被鎖定時本護身符獲得x2番，如果它是魂牌則再獲得x1番（當前為x1番）,"+鎖定牌,x番","關卡開始時,和牌時","線性,出售時重置",無成長,12,"鎖定,魂牌",否,否,
S3p137.webp,274,魔法開鎖匠柚+,神話,鎖定3張待摸牌。每有1張牌被鎖定時本護身符獲得x3番，如果它是魂牌則再獲得x2番（當前為x1番）,"+鎖定牌,x番","關卡開始時,和牌時","線性,出售時重置",無成長,12,"鎖定,魂牌",是,是,
S3138.webp,275,萬象天引,神話,關卡開始時，擁有1張無法打出的百搭牌（百搭牌不會算為寶牌和魂牌）,配牌/手牌,關卡開始時,無成長,無成長,12,"百搭牌,魂牌",否,否,
S3p138.webp,276,萬象天引+,神話,換牌次數+2。關卡開始時，擁有1張無法打出的百搭牌（百搭牌不會算為寶牌和魂牌）,"+換牌次數,配牌/手牌",關卡開始時,無成長,無成長,12,"百搭牌,魂牌",是,是,
S3139.webp,277,附魔師卡維,神話,本護身符一定會有印章。關卡開始前，使左側相鄰的護身符獲得相同的印章。,印章,"擁有時,關卡開始前",無成長,"線性,印章",12,印章,否,否,
S3p139.webp,278,附魔師卡維+,神話,本護身符一定會有印章。關卡開始前，使兩側相鄰的護身符獲得相同的印章。,印章,"擁有時,關卡開始前",無成長,"線性,印章",12,印章,是,是,
S3140.webp,279,全能護符改造王,神話,關卡結束時，使本護身符右側相鄰的護身符，變為更高1級品質的隨機護身符,護身符,關卡結束時,無成長,"線性,護身符",12,品質,否,否,可以改造為已擁有的護身符，保留印章，神話護身符可以繼續改造成隨機神話護身符
S3p140.webp,280,全能護符改造王+,神話,關卡結束時，使本護身符右側相鄰的護身符，變為更高2級品質的隨機護身符,護身符,關卡結束時,無成長,"線性,護身符",12,品質,是,是,可以改造為已擁有的護身符，保留印章，神話護身符可以繼續改造成隨機神話護身符
S3141.webp,281,星際黑客淩,神話,"關卡開始前，獲得隨機其他1個最低品質護身符的效果（關卡結束時失去效果,關卡開始前，獲得效果！）",護身符,"關卡開始前,關卡開始時",無成長,"線性,護身符",12,"技術入侵,品質",否,否,獲得護身符效果時保留自身印章，不獲得新的印章
S3p141.webp,282,星際黑客淩+,神話,"換牌次數+1。關卡開始前，獲得隨機其他1個最低品質護身符的效果（關卡結束時失去效果,關卡開始前，獲得效果！）","+換牌次數,護身符","關卡開始前,關卡開始時",無成長,"線性,護身符",12,"技術入侵,品質",是,是,獲得護身符效果時保留自身印章，不獲得新的印章
S3142.webp,283,植物學家二之宮,神話,關卡結束時，隨機使2種牌的基礎分值變為與最高數值相同,+基礎分值,關卡結束時,無成長,"線性,基礎分值",12,基礎分值,否,否,
S3p142.webp,284,植物學家二之宮+,神話,關卡結束時，隨機使3種牌的基礎分值變為與最高數值相同,+基礎分值,關卡結束時,無成長,"線性,基礎分值",12,基礎分值,是,是,
